"BehaviorSpace results (NetLogo 7.0.3)","Stats version 2.0"
"Granovetter's_threshold_model_of_collective_behaviour.nlogo"
"diversity-effect"
"05/25/2026 20:16:38:741 +0900"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"network","threshold-distribution","number-of-agents","mean-threshold","sd-threshold","[step]","(mean) final-proportion","(std) final-proportion","(mean) ticks","(std) ticks"
"fully connected","normal","100","25","51","3","85.95","6.71918893915032","3","0"
"fully connected","normal","100","25","51","4","89.38888888888889","4.94569272632357","4","0"
"fully connected","normal","100","25","51","5","91.5","3.8622100754188224","5","0"
"fully connected","normal","100","25","52","0","0","0","0","0"
"fully connected","normal","100","25","52","1","47.55","6.445735024029455","1","0"
"fully connected","normal","100","25","52","2","76.05","6.960423837669658","2","0"
"fully connected","normal","100","25","52","3","87.2","5.6178287620752565","3","0"
"fully connected","normal","100","25","52","4","90.125","4.702060718451007","4","0"
"fully connected","normal","100","25","52","5","91","4.268749491621899","5","0"
"fully connected","normal","100","25","52","6","88.66666666666667","2.8674417556808756","6","0"
"fully connected","normal","100","25","53","0","0","0","0","0"
"fully connected","normal","100","25","53","1","45.55","8.157665107124709","1","0"
"fully connected","normal","100","25","53","2","71.25","9.528247477894347","2","0"
"fully connected","normal","100","25","53","3","81.2","7.11055553385247","3","0"
"fully connected","normal","100","25","53","4","84.3529411764706","5.1671038249406465","4","0"
"fully connected","normal","100","25","53","5","85.41666666666667","3.839668677836091","5","0"
"fully connected","normal","100","25","53","6","87","4.0708019567928595","6","0"
"fully connected","normal","100","25","53","7","86","N/A","7","N/A"
"fully connected","normal","100","25","53","8","87","N/A","8","N/A"
"fully connected","normal","100","25","53","9","88","N/A","9","N/A"
"fully connected","normal","100","25","54","0","0","0","0","0"
"fully connected","normal","100","25","54","1","48.1","8.263776376451627","1","0"
"fully connected","normal","100","25","54","2","72.8","7.553806987208504","2","0"
"fully connected","normal","100","25","54","3","82.15","6.813772816876124","3","0"
"fully connected","normal","100","25","54","4","85.65","5.322358499763052","4","0"
"fully connected","normal","100","25","54","5","87.625","3.838538133196022","5","0"
"fully connected","normal","100","25","54","6","85","N/A","6","N/A"
"fully connected","normal","100","25","54","7","86","N/A","7","N/A"
"fully connected","normal","100","25","55","0","0","0","0","0"
"fully connected","normal","100","25","55","1","48","7.54983443527075","1","0"
"fully connected","normal","100","25","55","2","72.55","6.461230532955778","2","0"
"fully connected","normal","100","25","55","3","82.15","5.091905340832643","3","0"
"fully connected","normal","100","25","55","4","86.28571428571429","4.831867007225075","4","0"
"fully connected","normal","100","25","55","5","88.5","5.439056290693573","5","0"
"fully connected","normal","100","25","55","6","87","4.320493798938574","6","0"
"fully connected","normal","100","25","56","0","0","0","0","0"
"fully connected","normal","100","25","56","1","46.55","5.084043666216883","1","0"
"fully connected","normal","100","25","56","2","72.95","5.191098149717457","2","0"
"fully connected","normal","100","25","56","3","82.8","5.325410782277738","3","0"
"fully connected","normal","100","25","56","4","86.05263157894737","4.4066180397756805","4","0"
"fully connected","normal","100","25","56","5","88.625","3.998046397929869","5","0"
"fully connected","normal","100","25","56","6","86.33333333333333","1.247219128924647","6","0"
"fully connected","normal","100","25","57","0","0","0","0","0"
"fully connected","normal","100","25","57","1","48.65","6.8794985282359065","1","0"
"fully connected","normal","100","25","57","2","72.15","7.689440811918639","2","0"
"fully connected","normal","100","25","57","3","81.94736842105263","6.9847479268122505","3","0"
"fully connected","normal","100","25","57","4","84.22222222222223","6.28539361054709","4","0"
"fully connected","normal","100","25","57","5","84.83333333333333","8.493461537493939","5","0"
"fully connected","normal","100","25","57","6","89","N/A","6","N/A"
"fully connected","normal","100","25","57","7","94","N/A","7","N/A"
"fully connected","normal","100","25","58","0","0","0","0","0"
"fully connected","normal","100","25","58","1","45.8","5.65331761004103","1","0"
"fully connected","normal","100","25","58","2","69.65","6.813772816876124","2","0"
"fully connected","normal","100","25","58","3","80.4","5.96992462263972","3","0"
"fully connected","normal","100","25","58","4","82.82352941176471","5.469006729020922","4","0"
"fully connected","normal","100","25","58","5","84.28571428571429","5.8970764115857985","5","0"
"fully connected","normal","100","25","58","6","91","N/A","6","N/A"
"fully connected","normal","100","25","59","0","0","0","0","0"
"fully connected","normal","100","25","59","1","47.75","6.12270365116588","1","0"
"fully connected","normal","100","25","59","2","72.25","8.554969316134336","2","0"
"fully connected","normal","100","25","59","3","80.95","7.116705698565875","3","0"
"fully connected","normal","100","25","59","4","82.5625","6.1944405518174115","4","0"
"fully connected","normal","100","25","59","5","83.5","3.9370039370059056","5","0"
"fully connected","normal","100","25","59","6","81.75","1.920286436967152","6","0"
"fully connected","normal","100","25","60","0","0","0","0","0"
"fully connected","normal","100","25","60","1","47.45","7.65816557669002","1","0"
"fully connected","normal","100","25","60","2","71.2","8.919641248391102","2","0"
"fully connected","normal","100","25","60","3","79.3","8.277076778670112","3","0"
"fully connected","normal","100","25","60","4","81.33333333333333","6.866990283636315","4","0"
"fully connected","normal","100","25","60","5","80.83333333333333","6.962199524735141","5","0"
"fully connected","normal","100","25","60","6","81","N/A","6","N/A"
"fully connected","normal","100","25","60","7","80","N/A","7","N/A"
"fully connected","normal","100","25","60","8","81","N/A","8","N/A"
"fully connected","normal","100","25","61","0","0","0","0","0"
"fully connected","normal","100","25","61","1","46.85","6.060321773635456","1","0"
